Date,Week.Num,LH.CPM
2019-1-1,1,1.713
2019-1-8,2,1.674
2019-1-15,3,1.596
2019-1-22,4,1.615
2019-1-29,5,1.589
2019-2-5,6,1.582
2019-2-12,7,1.577
2019-2-19,8,1.568
2019-2-26,9,1.56
2019-3-5,10,1.547
2019-3-12,11,1.533
2019-3-19,12,1.518
2019-3-26,13,1.504
2019-4-2,14,1.491
2019-4-9,15,1.47
2019-4-16,16,1.364
2019-4-23,17,1.445
2019-4-30,18,1.442
2019-5-7,19,1.433
2019-5-14,20,1.387
2019-5-21,21,
2019-5-28,22,1.434
2019-6-4,23,1.473
2019-6-11,24,1.492
2019-6-18,25,1.5
2019-6-25,26,1.514
2019-7-2,27,1.515
2019-7-9,28,1.498
2019-7-16,29,1.475
2019-7-23,30,1.464
2019-7-30,31,1.457
2019-8-6,32,1.456
2019-8-13,33,1.457
2019-8-20,34,1.461
2019-8-27,35,1.472
2019-9-3,36,1.482
2019-9-10,37,
2019-9-17,38,1.485
2019-9-24,39,1.48
2019-10-1,40,1.483
2019-10-8,41,1.468
2019-10-15,42,1.458
2019-10-22,43,1.445
2019-10-29,44,1.449
2019-11-5,45,1.449
2019-11-12,46,1.458
2019-11-19,47,1.467
2019-11-26,48,1.487
2019-12-3,49,1.512
2019-12-10,50,1.528
2019-12-17,51,1.563
2019-12-24,52,1.595
2020-1-1,1,1.589
2020-1-8,2,1.578
2020-1-15,3,1.554
2020-1-22,4,1.531
2020-1-29,5,1.507
2020-2-5,6,1.496
2020-2-12,7,1.482
2020-2-19,8,1.479
2020-2-26,9,1.476
2020-3-5,10,1.481
2020-3-12,11,1.492
2020-3-19,12,1.543
2020-3-26,13,1.573
2020-4-2,14,1.56
2020-4-9,15,1.496
2020-4-16,16,1.417
2020-4-23,17,1.343
2020-4-30,18,1.305
2020-5-7,19,1.294
2020-5-14,20,1.304
2020-5-21,21,1.335
2020-5-28,22,1.371
2020-6-4,23,1.408
2020-6-11,24,1.443
2020-6-18,25,1.484
2020-6-25,26,1.543
2020-7-2,27,1.601
2020-7-9,28,1.641
2020-7-16,29,1.682
2020-7-23,30,1.716
2020-7-30,31,1.751
2020-8-6,32,1.805
2020-8-13,33,1.839
2020-8-20,34,1.878
2020-8-27,35,1.927
2020-9-3,36,1.998
2020-9-10,37,2.015
2020-9-17,38,2.059
2020-9-24,39,2.075
2020-10-1,40,2.125
2020-10-8,41,2.128
2020-10-15,42,2.134
2020-10-22,43,2.121
2020-10-29,44,2.136
2020-11-5,45,2.15
2020-11-12,46,2.166
2020-11-19,47,2.172
2020-11-26,48,2.192
2020-12-3,49,2.195
2020-12-10,50,2.183
2020-12-17,51,2.165
2020-12-24,52,2.192
2021-1-1,1,2.212
2021-1-8,2,2.214
2021-1-15,3,2.16
2021-1-22,4,2.093
2021-1-29,5,2.045
2021-2-5,6,2.033
2021-2-12,7,2.03
2021-2-19,8,2.113
2021-2-26,9,2.226
2021-3-5,10,2.315
2021-3-12,11,2.326
2021-3-19,12,2.312
2021-3-26,13,2.289
2021-4-2,14,2.293
2021-4-9,15,2.275
2021-4-16,16,2.267
2021-4-23,17,2.237
2021-4-30,18,2.229
2021-5-7,19,2.285
2021-5-14,20,2.324
2021-5-21,21,2.313
2021-5-28,22,2.326
2021-6-4,23,2.303
2021-6-11,24,2.282
2021-6-18,25,2.268
2021-6-25,26,2.295
2021-7-2,27,2.336
2021-7-9,28,2.337
2021-7-16,29,2.326
2021-7-23,30,2.334
2021-7-30,31,2.339
2021-8-6,32,2.348
2021-8-13,33,2.345
2021-8-20,34,2.358
2021-8-27,35,2.377
2021-9-3,36,2.427
2021-9-10,37,2.422
2021-9-17,38,2.43
2021-9-24,39,2.434
2021-10-1,40,2.463
2021-10-8,41,2.456
2021-10-15,42,2.45
2021-10-22,43,2.431
2021-10-29,44,2.44
2021-11-5,45,2.441
2021-11-12,46,2.439
2021-11-19,47,2.437
2021-11-26,48,2.466
2021-12-3,49,2.488
2021-12-10,50,2.498
2021-12-17,51,2.509
2021-12-24,52,2.547
2022-1-1,1,2.605
2022-1-8,2,2.655
2022-1-15,3,2.696
2022-1-22,4,2.716
2022-1-29,5,2.697
2022-2-5,6,2.702
2022-2-12,7,2.682
