Date,Week.Num,DOE.Avg
2019-1-1,1,3.013
2019-1-8,2,2.976
2019-1-15,3,2.965
2019-1-22,4,2.965
2019-1-29,5,2.966
2019-2-5,6,2.966
2019-2-12,7,3.006
2019-2-19,8,3.048
2019-2-26,9,3.076
2019-3-5,10,3.079
2019-3-12,11,3.07
2019-3-19,12,3.08
2019-3-26,13,3.078
2019-4-2,14,3.093
2019-4-9,15,3.118
2019-4-16,16,3.147
2019-4-23,17,3.169
2019-4-30,18,3.171
2019-5-7,19,3.16
2019-5-14,20,3.163
2019-5-21,21,3.151
2019-5-28,22,3.136
2019-6-4,23,3.105
2019-6-11,24,3.07
2019-6-18,25,3.043
2019-6-25,26,3.042
2019-7-2,27,3.055
2019-7-9,28,3.051
2019-7-16,29,3.044
2019-7-23,30,3.034
2019-7-30,31,3.032
2019-8-6,32,3.011
2019-8-13,33,2.994
2019-8-20,34,2.983
2019-8-27,35,2.976
2019-9-3,36,2.971
2019-9-10,37,2.987
2019-9-17,38,3.081
2019-9-24,39,3.066
2019-10-1,40,3.047
2019-10-8,41,3.051
2019-10-15,42,3.05
2019-10-22,43,3.064
2019-10-29,44,3.062
2019-11-5,45,3.073
2019-11-12,46,3.074
2019-11-19,47,3.066
2019-11-26,48,3.07
2019-12-3,49,3.049
2019-12-10,50,3.046
2019-12-17,51,3.041
2019-12-24,52,3.069
2020-1-1,1,3.079
2020-1-8,2,3.064
2020-1-15,3,3.037
2020-1-22,4,3.01
2020-1-29,5,2.956
2020-2-5,6,2.91
2020-2-12,7,2.89
2020-2-19,8,2.882
2020-2-26,9,2.851
2020-3-5,10,2.814
2020-3-12,11,2.733
2020-3-19,12,2.659
2020-3-26,13,2.586
2020-4-2,14,2.548
2020-4-9,15,2.507
2020-4-16,16,2.48
2020-4-23,17,2.437
2020-4-30,18,2.399
2020-5-7,19,2.394
2020-5-14,20,2.386
2020-5-21,21,2.39
2020-5-28,22,2.386
2020-6-4,23,2.396
2020-6-11,24,2.403
2020-6-18,25,2.425
2020-6-25,26,2.43
2020-7-2,27,2.437
2020-7-9,28,2.438
2020-7-16,29,2.433
2020-7-23,30,2.427
2020-7-30,31,2.424
2020-8-6,32,2.428
2020-8-13,33,2.427
2020-8-20,34,2.426
2020-8-27,35,2.441
2020-9-3,36,2.435
2020-9-10,37,2.422
2020-9-17,38,2.404
2020-9-24,39,2.394
2020-10-1,40,2.387
2020-10-8,41,2.395
2020-10-15,42,2.388
2020-10-22,43,2.385
2020-10-29,44,2.372
2020-11-5,45,2.383
2020-11-12,46,2.441
2020-11-19,47,2.462
2020-11-26,48,2.502
2020-12-3,49,2.526
2020-12-10,50,2.559
2020-12-17,51,2.619
2020-12-24,52,2.635
2021-1-1,1,2.64
2021-1-8,2,2.67
2021-1-15,3,2.696
2021-1-22,4,2.716
2021-1-29,5,2.738
2021-2-5,6,2.801
2021-2-12,7,2.876
2021-2-19,8,2.973
2021-2-26,9,3.072
2021-3-5,10,3.143
2021-3-12,11,3.191
2021-3-19,12,3.194
2021-3-26,13,3.161
2021-4-2,14,3.144
2021-4-9,15,3.129
2021-4-16,16,3.124
2021-4-23,17,3.124
2021-4-30,18,3.142
2021-5-7,19,3.186
2021-5-14,20,3.249
2021-5-21,21,3.253
2021-5-28,22,3.255
2021-6-4,23,3.274
2021-6-11,24,3.286
2021-6-18,25,3.287
