Date,Week.Num,LT.Ratio
2019-1-1,1,4.41
2019-1-8,2,2.01
2019-1-15,3,1.29
2019-1-22,4,1.5
2019-1-29,5,2.04
2019-2-5,6,2.04
2019-2-12,7,2.17
2019-2-19,8,1.92
2019-2-26,9,2.13
2019-3-5,10,1.72
2019-3-12,11,1.62
2019-3-19,12,1.4
2019-3-26,13,1.74
2019-4-2,14,1.37
2019-4-9,15,1.3
2019-4-16,16,1.39
2019-4-23,17,1.69
2019-4-30,18,1.88
2019-5-7,19,1.62
2019-5-14,20,1.66
2019-5-21,21,1.88
2019-5-28,22,2.63
2019-6-4,23,4.02
2019-6-11,24,3.09
2019-6-18,25,2.74
2019-6-25,26,3.19
2019-7-2,27,2.04
2019-7-9,28,2.48
2019-7-16,29,1.98
2019-7-23,30,1.95
2019-7-30,31,2.2
2019-8-6,32,2.2
2019-8-13,33,2.43
2019-8-20,34,2.29
2019-8-27,35,2.66
2019-9-3,36,2.85
2019-9-10,37,2.51
2019-9-17,38,2.28
2019-9-24,39,2.29
2019-10-1,40,2.36
2019-10-8,41,1.94
2019-10-15,42,1.53
2019-10-22,43,1.59
2019-10-29,44,2.16
2019-11-5,45,2.08
2019-11-12,46,2.52
2019-11-19,47,2.58
2019-11-26,48,2.39
2019-12-3,49,4.28
2019-12-10,50,3.11
2019-12-17,51,4.01
2019-12-24,52,2.4
2020-1-1,1,3.98
2020-1-8,2,3.37
2020-1-15,3,2.25
2020-1-22,4,1.73
2020-1-29,5,1.68
2020-2-5,6,1.78
2020-2-12,7,1.89
2020-2-19,8,1.99
2020-2-26,9,2.2
2020-3-5,10,2.47
2020-3-12,11,3.26
2020-3-19,12,3.63
2020-3-26,13,2.98
2020-4-2,14,1.63
2020-4-9,15,0.9
2020-4-16,16,0.97
2020-4-23,17,1
2020-4-30,18,1.3
2020-5-7,19,1.55
2020-5-14,20,1.81
2020-5-21,21,2.25
2020-5-28,22,2.91
2020-6-4,23,2.79
2020-6-11,24,3
2020-6-18,25,3.66
2020-6-25,26,4.45
2020-7-2,27,3.96
2020-7-9,28,4.84
2020-7-16,29,4.63
2020-7-23,30,4.38
2020-7-30,31,5.36
2020-8-6,32,5.45
2020-8-13,33,5.15
2020-8-20,34,5.29
2020-8-27,35,5.92
2020-9-3,36,6.22
2020-9-10,37,5.62
2020-9-17,38,5.33
2020-9-24,39,5.39
2020-10-1,40,5.77
2020-10-8,41,4.44
2020-10-15,42,4.42
2020-10-22,43,4.14
2020-10-29,44,4.89
2020-11-5,45,5.45
2020-11-12,46,4.41
2020-11-19,47,4.67
2020-11-26,48,3.9
